,code,name,industry,area,net_profits,profits_yoy,pe,totals,esp,timeToMarket,Frist_price,Frist_high_day,Frist_high_price,low_bet_fh_h_day,low_price_bet_fh_h_price,high_day,high/low_price,high/FH,ma20/FH
23,002842,翔鹭钨业,小金属,广东,5270.4,11.61,62.98,1.0,0.527,20170119,13.7,16,3.18248175182,6 days 00:00:00.000000000,-0.164397905759,29 days 00:00:00.000000000,0.322263993317,0.104886561955,-0.259511343805
24,002841,视源股份,元器件,广东,59630.33,0.28,35.31,4.06,1.49,20170119,22.87,15,2.10144293835,6 days 00:00:00.000000000,-0.112082334696,38 days 00:00:00.000000000,0.571927596062,0.395742281122,0.0129564359227
25,300596,利安隆,化工原料,天津,9339.23,27.14,25.27,1.8,0.53,20170119,13.55,13,2.31217712177,10 days 00:00:00.000000000,-0.159982174688,35 days 00:00:00.000000000,0.247214854111,0.0476827094474,-0.585049019608
26,603638,艾迪精密,专用机械,山东,10247.35,78.49,40.58,1.76,0.6,20170120,7.9,14,3.14556962025,62 days 00:00:00.000000000,-0.243358778626,79 days 00:00:00.000000000,0.473769168684,0.115114503817,-0.0222900763359
27,002843,泰嘉股份,钢加工,湖南,4044.23,40.85,53.55,1.42,0.3,20170120,7.94,17,3.29093198992,3 days 00:00:00.000000000,-0.0997945406516,87 days 00:00:00.000000000,0.67818715357,0.510713237452,-0.365717640153
28,300592,华凯创意,软件服务,湖南,3590.18,27.04,43.54,1.22,0.3,20170120,6.25,19,4.376,1 days 00:00:00.000000000,-0.0276785714286,34 days 00:00:00.000000000,0.185185185185,0.152380952381,-0.48630952381
29,603037,凯众股份,汽车配件,上海,8900.26,35.19,23.56,1.06,0.86,20170120,23.05,10,1.19869848156,11 days 00:00:00.000000000,-0.0518942383583,35 days 00:00:00.000000000,0.215608740895,0.152525651144,-0.486029992107
30,300597,吉大通信,通信设备,吉林,3388.37,-6.41,93.23,2.4,0.15,20170123,6.64,16,3.55572289157,4 days 00:00:00.000000000,-0.177520661157,29 days 00:00:00.000000000,0.221864951768,0.00495867768595,-0.325123966942
31,601881,中国银河,证券,北京,338344.06,-4.68,27.32,101.37,0.34,20170123,8.17,3,0.452876376989,14 days 00:00:00.000000000,-0.110362257793,222 days 00:00:00.000000000,0.484848484848,0.32097725358,-0.102106149958
32,300599,雄塑科技,塑料,广东,8763.09,21.07,32.63,3.04,0.3,20170123,8.45,11,1.83195266272,12 days 00:00:00.000000000,-0.0785624738822,28 days 00:00:00.000000000,0.452607709751,0.338487254492,-0.492185541162
33,603429,集友股份,广告包装,安徽,7066.24,112.13,60.41,1.36,0.53,20170124,21.6,13,2.0625,4 days 00:00:00.000000000,-0.108087679516,198 days 00:00:00.000000000,0.523389830508,0.35873015873,-0.346530612245
34,002845,同兴达,元器件,深圳,10533.97,162.06,37.72,2.01,0.54,20170125,21.11,13,2.03079109427,5 days 00:00:00.000000000,-0.175054704595,203 days 00:00:00.000000000,0.646456991285,0.358236949047,-0.564582682088
35,300578,会畅通讯,通信设备,上海,2493.48,-10.35,86.15,0.74,0.47,20170125,11.64,18,3.38659793814,6 days 00:00:00.000000000,-0.0109674892284,26 days 00:00:00.000000000,0.237623762376,0.224050137094,-0.295456325891
36,300603,立昂技术,通信设备,新疆,5882.71,259.16,43.48,1.03,0.59,20170126,5.46,21,6.32600732601,1 days 00:00:00.000000000,-0.0375,20 days 00:00:00.000000000,0.429350649351,0.37575,-0.131875
37,300602,飞荣达,元器件,深圳,7034.35,-7.21,53.42,1.0,0.72,20170126,17.78,13,2.23397075366,157 days 00:00:00.000000000,-0.302608695652,94 days 00:00:00.000000000,0.799750623441,0.255130434783,-0.0732173913043
38,603089,正裕工业,汽车配件,浙江,6201.9,-8.42,30.37,1.07,0.581,20170126,16.75,12,1.62746268657,5 days 00:00:00.000000000,-0.113837764145,33 days 00:00:00.000000000,0.245641025641,0.103840036355,-0.458577596001
39,603360,百傲化学,化工原料,辽宁,8146.95,12.22,27.5,1.33,0.65,20170206,11.09,13,2.1830477908,1 days 00:00:00.000000000,-0.00849858356941,32 days 00:00:00.000000000,0.237142857143,0.226628895184,-0.382067988669
40,300601,康泰生物,生物制药,深圳,15636.05,110.16,93.73,4.21,0.38,20170207,4.35,23,7.66206896552,76 days 00:00:00.000000000,-0.361995753715,173 days 00:00:00.000000000,1.19009983361,0.397292993631,0.272744161359
41,603177,德创环保,环境保护,浙江,2293.8,-26.17,137.58,2.02,0.12,20170207,5.18,21,5.138996139,6 days 00:00:00.000000000,-0.0779874213836,9 days 00:00:00.000000000,0.156207366985,0.0660377358491,-0.340691823899
42,002846,英联股份,广告包装,广东,3571.34,-7.79,76.57,1.92,0.186,20170207,10.0,15,2.802,1 days 00:00:00.000000000,-0.0510257759074,104 days 00:00:00.000000000,0.521618625277,0.443976854287,-0.527827459232
43,603637,镇海股份,建筑施工,浙江,3453.69,-28.91,77.08,1.33,0.27,20170208,19.96,8,0.949899799599,4 days 00:00:00.000000000,-0.0490750256937,29 days 00:00:00.000000000,0.302350716023,0.238437821172,-0.382219938335
44,300605,恒锋信息,软件服务,福建,2830.01,18.86,60.46,0.84,0.35,20170208,11.28,15,3.31471631206,3 days 00:00:00.000000000,-0.034312718307,25 days 00:00:00.000000000,0.174468085106,0.134168892542,-0.44793507294
45,603881,数据港,电信运营,上海,8215.61,44.35,84.53,2.11,0.4,20170208,9.36,18,4.05341880342,3 days 00:00:00.000000000,-0.0448202959831,18 days 00:00:00.000000000,0.609119079239,0.536997885835,-0.00452431289641
46,300606,金太阳,矿物制品,广东,4300.07,58.99,45.18,0.89,0.482,20170208,10.03,15,3.51545363908,2 days 00:00:00.000000000,-0.0611614042835,26 days 00:00:00.000000000,0.128880526811,0.0598366085229,-0.279774784721
47,603626,科森科技,专用机械,江苏,11838.2,-5.37,48.02,2.97,0.42,20170209,22.62,7,0.931918656057,4 days 00:00:00.000000000,-0.0386727688787,189 days 00:00:00.000000000,0.575339204951,0.514416475973,-0.359290617849
48,300607,拓斯达,专用机械,广东,10367.44,,59.17,1.3,0.82,20170209,24.74,12,1.99514955538,3 days 00:00:00.000000000,-0.0134952766532,130 days 00:00:00.000000000,0.487961696306,0.467881241565,-0.119217273954
49,603208,江山欧派,家居用品,浙江,8899.12,5.8,28.05,0.81,1.17,20170210,35.76,11,0.77293064877,7 days 00:00:00.000000000,-0.0446372239748,24 days 00:00:00.000000000,0.133894667327,0.0832807570978,-0.334574132492
50,300610,晨化股份,化工原料,江苏,6201.95,35.76,30.67,1.5,0.43,20170213,13.95,13,2.42437275986,0 days 00:00:00.000000000,0.0,0 days 00:00:00.000000000,0.0,0.0,-0.651078082479
