date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-01,36.46,43.75,43.75,36.46,197.16,13.37,44.01,43.75,43.75,43.75,197.16,197.16,197.16,0.05
2017-12-04,48.13,48.13,48.13,48.13,125.58,4.38,10.01,45.94,45.94,45.94,161.37,161.37,161.37,0.03
2017-12-05,52.94,52.94,52.94,52.94,717.45,4.81,9.99,48.273,48.273,48.273,346.73,346.73,346.73,0.2
2017-12-06,57.0,58.23,58.23,53.01,167585.2,5.29,9.99,50.763,50.763,50.763,42156.35,42156.35,42156.35,46.53
2017-12-07,56.6,56.8,53.58,53.4,133555.78,-4.65,-7.99,51.326,51.326,51.326,60436.23,60436.23,60436.23,37.09
2017-12-08,51.2,58.18,55.6,51.06,152611.98,2.02,3.77,53.696,52.038,52.038,90919.2,75798.86,75798.86,42.38
2017-12-11,54.07,56.44,54.13,53.0,96453.04,-1.47,-2.64,54.896,52.337,52.337,110184.69,78749.46,78749.46,26.78
2017-12-12,52.88,52.88,49.0,49.0,111215.08,-5.13,-9.48,54.108,51.92,51.92,132284.22,82807.66,82807.66,30.88
2017-12-13,48.0,49.85,48.38,47.66,63096.95,-0.62,-1.26,52.138,51.527,51.527,111386.57,80617.58,80617.58,17.52
2017-12-14,48.4,49.87,49.24,48.21,63943.02,0.86,1.78,51.27,51.298,51.298,97464.01,78950.12,78950.12,17.76
2017-12-15,48.71,48.97,46.84,46.4,68891.2,-2.4,-4.87,49.518,51.607,50.893,80719.86,85819.53,78035.68,19.13
2017-12-18,47.15,47.49,45.77,45.03,44859.68,-1.07,-2.28,47.846,51.371,50.466,70401.19,90292.94,75271.01,12.46
2017-12-19,45.63,46.32,45.46,44.71,48255.99,-0.31,-0.68,47.138,50.623,50.081,57809.37,95046.79,73192.93,13.4
2017-12-20,45.3,46.13,45.87,45.11,44261.12,0.41,0.9,46.636,49.387,49.78,54042.2,82714.38,71126.37,12.29
2017-12-21,45.5,45.53,44.77,43.61,55575.63,-1.1,-2.4,45.742,48.506,49.446,52368.72,74916.37,70089.66,15.43
2017-12-22,44.61,45.98,45.21,44.39,46351.68,0.44,0.98,45.416,47.467,49.181,47860.82,64290.34,68606.03,12.87
2017-12-25,44.8,44.9,44.35,43.0,49391.24,-0.86,-1.9,45.132,46.489,48.897,48767.13,59584.16,67475.75,13.71
2017-12-26,43.96,47.36,46.4,43.86,72965.16,2.05,4.62,45.32,46.229,48.758,53708.97,55759.17,67780.72,20.26
2017-12-27,46.35,50.88,48.3,46.35,106561.03,1.9,4.09,45.806,46.221,48.734,66168.95,60105.58,69821.79,29.59
2017-12-28,47.36,49.98,48.95,47.0,102826.86,0.65,1.35,46.642,46.192,48.745,75619.19,63993.96,71472.04,28.55
2017-12-29,48.13,50.78,47.97,47.66,76958.47,-0.98,-2.0,47.194,46.305,48.956,81740.55,64800.69,75310.11,21.37
2018-01-02,49.42,49.83,48.85,48.01,57454.2,0.88,1.83,48.094,46.613,48.992,83353.14,66060.14,78176.54,15.95
2018-01-03,48.3,48.38,46.09,45.46,78459.38,-2.76,-5.65,48.032,46.676,48.65,84451.99,69080.48,82063.63,21.79
2018-01-04,45.94,47.05,45.83,45.58,52637.57,-0.26,-0.56,47.538,46.672,48.03,73667.3,69918.12,76316.25,14.62
2018-01-05,45.4,45.99,45.43,44.9,42459.34,-0.4,-0.87,46.834,46.738,47.622,61593.79,68606.49,71761.43,11.79
2018-01-08,45.75,48.69,47.6,45.66,73187.46,2.17,4.78,46.76,46.977,47.222,60839.59,71290.07,67790.21,20.32
2018-01-09,47.06,47.54,47.38,46.57,54003.75,-0.22,-0.46,46.466,47.28,46.885,60149.5,71751.32,65667.74,15.0
2018-01-10,47.45,47.97,46.25,45.81,43808.46,-1.13,-2.38,46.498,47.265,46.747,53219.32,68835.65,62297.41,12.16
2018-01-11,45.35,47.71,46.86,45.35,50399.53,0.61,1.32,46.704,47.121,46.671,52771.71,63219.5,61662.54,13.99
2018-01-12,46.58,47.46,45.69,45.58,37649.03,-1.17,-2.5,46.756,46.795,46.494,51809.65,56701.72,60347.84,10.45
2018-01-15,45.68,45.8,43.81,43.5,41200.5,-1.88,-4.12,45.998,46.379,46.342,45412.25,53125.92,58963.3,11.44
2018-01-16,43.83,45.1,44.42,43.8,32219.94,0.61,1.39,45.406,45.936,46.275,41055.49,50602.5,58331.32,8.95
