date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-05-16,15.47,16.88,16.88,15.47,35.0,5.16,44.03,16.88,16.88,16.88,35.0,35.0,35.0,0.02
2017-05-17,18.57,18.57,18.57,18.57,15.0,1.69,10.01,17.725,17.725,17.725,25.0,25.0,25.0,0.01
2017-05-18,20.43,20.43,20.43,20.43,15.16,1.86,10.02,18.627,18.627,18.627,21.72,21.72,21.72,0.01
2017-05-19,22.47,22.47,22.47,22.47,11.0,2.04,9.98,19.588,19.588,19.588,19.04,19.04,19.04,0.01
2017-05-22,24.72,24.72,24.72,24.72,54.0,2.25,10.01,20.614,20.614,20.614,26.03,26.03,26.03,0.03
2017-05-23,27.19,27.19,27.19,27.19,125.38,2.47,9.99,22.676,21.71,21.71,44.11,42.59,42.59,0.06
2017-05-24,29.91,29.91,29.91,29.91,215.0,2.72,10.0,24.944,22.881,22.881,84.11,67.22,67.22,0.11
2017-05-25,32.9,32.9,32.9,32.9,252.0,2.99,10.0,27.438,24.134,24.134,131.48,90.32,90.32,0.13
2017-05-26,36.19,36.19,36.19,36.19,735.0,3.29,10.0,30.182,25.473,25.473,276.28,161.95,161.95,0.37
2017-05-31,39.81,39.81,39.81,39.81,1057.0,3.62,10.0,33.2,26.907,26.907,476.88,251.45,251.45,0.53
2017-06-01,43.79,43.79,43.79,43.79,22178.72,3.98,10.0,36.52,29.598,28.442,4887.54,2465.83,2244.84,11.09
2017-06-02,42.8,44.49,41.8,39.9,111124.78,-1.99,-4.54,38.898,31.921,29.555,27069.5,13576.8,11318.17,55.56
2017-06-05,44.39,45.98,42.2,41.88,89250.25,0.4,0.96,40.758,34.098,30.528,44869.15,22500.31,17312.95,44.63
2017-06-06,42.87,44.53,43.09,40.89,102473.18,0.89,2.11,42.138,36.16,31.425,65216.79,32746.53,23395.82,51.24
2017-06-07,41.8,47.4,47.4,41.46,101344.05,4.31,10.0,43.656,38.428,32.49,85274.2,42875.54,28592.37,50.67
2017-06-08,46.2,46.5,42.83,42.66,119202.71,-4.57,-9.64,43.464,39.992,33.136,104678.99,54783.27,34255.51,59.6
2017-06-09,41.7,43.19,42.18,41.39,56632.34,-0.65,-1.52,43.54,41.219,33.668,93780.51,60425.0,35571.8,28.32
2017-06-12,41.0,41.99,38.03,37.96,58909.29,-4.15,-9.84,42.706,41.732,33.911,87712.31,66290.73,36868.33,29.45
2017-06-13,37.4,39.05,38.38,37.4,38807.42,0.35,0.92,41.764,41.951,34.146,74979.16,70097.97,36970.38,19.4
2017-06-14,38.25,38.46,36.7,36.42,46477.43,-1.68,-4.38,39.624,41.64,34.274,64005.84,74640.02,37445.74,23.24
2017-06-15,36.56,37.98,37.63,36.55,36165.31,0.93,2.53,38.584,41.024,35.311,47398.36,76038.68,39252.25,18.08
2017-06-16,37.68,39.1,38.11,36.81,40367.1,0.48,1.28,37.77,40.655,36.288,44145.31,68962.91,41269.86,20.18
