date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-08,7.86,9.43,9.43,7.86,100.4,2.88,43.97,9.43,9.43,9.43,100.4,100.4,100.4,0.02
2017-06-09,10.37,10.37,10.37,10.37,55.94,0.94,9.97,9.9,9.9,9.9,78.17,78.17,78.17,0.01
2017-06-12,11.41,11.41,11.41,11.41,94.12,1.04,10.03,10.403,10.403,10.403,83.49,83.49,83.49,0.02
2017-06-13,12.55,12.55,12.55,12.55,72.56,1.14,9.99,10.94,10.94,10.94,80.76,80.76,80.76,0.02
2017-06-14,13.81,13.81,13.81,13.81,155.96,1.26,10.04,11.514,11.514,11.514,95.8,95.8,95.8,0.03
2017-06-15,15.19,15.19,15.19,15.19,175.56,1.38,9.99,12.666,12.127,12.127,110.83,109.09,109.09,0.04
2017-06-16,16.71,16.71,16.71,16.71,227.74,1.52,10.01,13.934,12.781,12.781,145.19,126.04,126.04,0.05
2017-06-19,18.38,18.38,18.38,18.38,793.92,1.67,9.99,15.328,13.481,13.481,285.15,209.53,209.53,0.18
2017-06-20,20.22,20.22,20.22,20.22,3051.99,1.84,10.01,16.862,14.23,14.23,881.03,525.35,525.35,0.68
2017-06-21,22.24,22.24,22.24,22.24,2397.93,2.02,9.99,18.548,15.031,15.031,1329.43,712.61,712.61,0.53
2017-06-22,24.46,24.46,24.46,24.46,2013.4,2.22,9.98,20.402,16.534,15.888,1697.0,903.91,830.87,0.45
2017-06-23,26.91,26.91,25.83,25.21,300564.81,1.37,5.6,22.226,18.08,16.717,61764.41,30954.8,25808.69,66.79
2017-06-26,27.8,28.41,25.98,25.1,270957.62,0.15,0.58,23.746,19.537,17.429,115797.15,58041.15,44666.3,60.21
2017-06-27,26.0,28.58,28.58,24.94,308055.09,2.6,10.01,25.418,21.14,18.226,176797.77,88839.4,63479.79,68.46
2017-06-28,26.58,27.2,25.72,25.72,234186.95,-2.86,-10.01,26.114,22.331,18.725,223155.57,112242.5,74860.27,52.04
2017-06-29,25.05,26.28,25.31,24.94,183889.95,-0.41,-1.59,26.284,23.343,19.137,259530.88,130613.94,81674.62,40.86
2017-06-30,24.44,26.56,25.27,24.22,191651.62,-0.04,-0.16,26.172,24.199,19.498,237748.25,149756.33,88143.86,42.59
2017-07-03,25.07,26.28,26.03,23.8,176145.27,0.76,3.01,26.182,24.964,19.861,218785.78,167291.46,93032.82,39.14
2017-07-04,25.83,26.8,25.4,25.25,155673.59,-0.63,-2.42,25.546,25.482,20.152,188309.48,182553.62,96329.71,34.59
2017-07-05,24.96,27.94,27.94,24.9,222330.48,2.54,10.0,25.99,26.052,20.542,185938.18,204546.88,102629.74,49.41
2017-07-06,27.94,28.67,28.25,27.01,239417.81,0.31,1.11,26.578,26.431,21.483,197043.75,228287.32,114595.62,53.2
2017-07-07,27.56,27.74,26.51,26.42,167301.45,-1.74,-6.16,26.826,26.499,22.29,192173.72,214960.98,122957.89,37.18
2017-07-10,25.71,25.95,23.86,23.86,166422.97,-2.65,-10.0,26.392,26.287,22.912,190229.26,204507.52,131274.33,36.98
2017-07-11,23.5,23.79,22.88,22.71,96499.6,-0.98,-4.11,25.888,25.717,23.429,178394.46,183351.97,136095.69,21.44
