date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-16,33.14,36.16,36.16,33.14,86.0,11.05,44.01,36.16,36.16,36.16,86.0,86.0,86.0,0.03
2017-06-19,39.78,39.78,39.78,39.78,27.1,3.62,10.01,37.97,37.97,37.97,56.55,56.55,56.55,0.01
2017-06-20,43.76,43.76,43.76,43.76,24.69,3.98,10.01,39.9,39.9,39.9,45.93,45.93,45.93,0.01
2017-06-21,48.14,48.14,48.14,48.14,47.7,4.38,10.01,41.96,41.96,41.96,46.37,46.37,46.37,0.02
2017-06-22,52.95,52.95,52.95,52.95,453.79,4.81,9.99,44.158,44.158,44.158,127.86,127.86,127.86,0.17
2017-06-23,58.25,58.25,58.25,58.25,859.33,5.3,10.01,48.576,46.507,46.507,282.52,249.77,249.77,0.32
2017-06-26,64.08,64.08,64.08,64.08,1069.67,5.83,10.01,53.436,49.017,49.017,491.04,366.9,366.9,0.4
2017-06-27,70.49,70.49,70.49,70.49,2678.47,6.41,10.0,58.782,51.701,51.701,1021.79,655.84,655.84,0.99
2017-06-28,77.54,77.54,77.54,75.01,173707.78,7.05,10.0,64.662,54.572,54.572,35753.81,19883.84,19883.84,64.34
2017-06-29,79.5,80.5,78.26,76.13,127690.95,0.72,0.93,69.724,56.941,56.941,61201.24,30664.55,30664.55,47.29
2017-06-30,76.0,78.5,75.7,75.39,86375.67,-2.56,-3.27,73.214,60.895,58.646,78304.51,39293.52,35729.2,31.99
2017-07-03,75.8,81.68,79.8,74.11,94222.03,4.1,5.42,76.358,64.897,60.409,96934.98,48713.01,40603.6,34.9
2017-07-04,79.5,81.18,78.09,77.61,63088.49,-1.71,-2.14,77.878,68.33,61.769,109016.98,55019.39,42333.21,23.37
2017-07-05,77.61,79.25,77.03,75.56,74045.6,-1.06,-1.36,77.776,71.219,62.859,89084.55,62419.18,44598.38,27.42
2017-07-06,77.0,78.97,77.9,76.98,66529.51,0.87,1.13,77.704,73.714,63.862,76852.26,69026.75,46060.45,24.64
2017-07-07,76.95,76.95,74.5,74.5,70276.92,-3.4,-4.37,77.464,75.339,64.527,73632.51,75968.51,47573.98,26.03
2017-07-10,72.8,72.8,68.9,68.68,66672.65,-5.6,-7.52,75.284,75.821,64.784,68122.63,82528.81,48697.43,24.69
2017-07-11,68.75,69.64,67.58,67.5,28524.42,-1.32,-1.92,73.182,75.53,64.939,61209.82,85113.4,47576.71,10.56
2017-07-12,67.4,67.85,67.3,65.65,31405.25,-0.28,-0.41,71.236,74.506,65.064,52681.75,70883.15,46725.58,11.63
2017-07-13,67.0,67.49,67.4,66.2,19566.08,0.1,0.15,69.136,73.42,65.181,43289.06,60070.66,45367.61,7.25
2017-07-14,67.13,68.85,67.21,66.82,26573.05,-0.19,-0.28,67.678,72.571,66.733,34548.29,54090.4,46691.96,9.84
2017-07-17,65.0,65.0,60.49,60.49,46114.37,-6.72,-10.0,65.996,70.64,67.768,30436.63,49279.63,48996.32,17.08
2017-07-18,59.94,61.9,61.2,59.5,18593.11,0.71,1.17,64.72,68.951,68.641,28450.37,44830.1,49924.74,6.89
2017-07-19,60.7,61.3,61.18,59.82,16451.34,-0.02,-0.03,63.496,67.366,69.292,25459.59,39070.67,50744.92,6.09
2017-07-20,60.9,62.8,60.48,60.3,17334.49,-0.7,-1.14,62.112,65.624,69.669,25013.27,34151.17,51588.96,6.42
2017-07-21,60.05,60.38,58.68,58.58,18853.2,-1.8,-2.98,60.406,64.042,69.691,23469.3,29008.8,52488.65,6.98
2017-07-24,58.0,61.94,60.82,57.3,20434.22,2.14,3.65,60.472,63.234,69.528,18333.27,24384.95,53456.88,7.57
2017-07-25,60.64,63.2,61.39,60.08,20705.39,0.57,0.94,60.51,62.615,69.072,18755.73,23603.05,54358.23,7.67
2017-07-26,61.01,62.01,61.81,60.78,15204.64,0.42,0.68,60.636,62.066,68.286,18506.39,21982.99,46433.07,5.63
2017-07-27,61.61,63.78,63.05,61.22,20625.44,1.24,2.01,61.15,61.631,67.526,19164.58,22088.93,41079.79,7.64
2017-07-28,62.68,63.09,61.25,61.21,15615.66,-1.8,-2.85,61.664,61.035,66.803,18517.07,20993.19,37541.79,5.78
2017-07-31,61.02,61.99,60.64,60.57,11494.53,-0.61,-1.0,61.628,61.05,65.845,16729.13,17531.2,33405.42,4.26
2017-08-01,60.22,60.95,60.69,59.7,10512.86,0.05,0.08,61.488,60.999,64.975,14690.63,16723.18,30776.64,3.89
2017-08-02,60.42,64.16,61.91,60.22,27426.49,1.22,2.01,61.508,61.072,64.219,17135.0,17820.69,28445.68,10.16
2017-08-03,61.51,62.4,61.09,60.8,13034.59,-0.82,-1.32,61.116,61.133,63.379,15616.83,17390.7,25770.94,4.83
2017-08-04,61.0,61.44,59.93,59.88,10965.27,-1.16,-1.9,60.852,61.258,62.65,14686.75,16601.91,22805.35,4.06
2017-08-07,60.2,60.98,60.48,60.2,6399.99,0.55,0.92,60.82,61.224,62.229,13667.84,15198.49,19791.72,2.37
2017-08-08,60.37,60.56,59.08,58.88,15428.17,-1.4,-2.31,60.498,60.993,61.804,14650.9,14670.76,19136.91,5.71
2017-08-09,58.7,59.35,58.8,58.61,8487.62,-0.28,-0.47,59.876,60.692,61.379,10863.13,13999.06,17991.03,3.14
2017-08-10,58.77,58.77,57.06,57.03,13894.55,-1.74,-2.96,59.07,60.093,60.862,11035.12,13325.97,17707.45,5.15
2017-08-11,56.21,57.87,56.64,56.21,10064.3,-0.42,-0.74,58.412,59.632,60.334,10854.93,12770.84,16882.01,3.73
2017-08-14,56.7,57.87,57.56,56.7,6684.42,0.92,1.62,57.828,59.324,60.187,10911.81,12289.83,14910.51,2.48
2017-08-15,57.5,58.36,57.89,57.36,6884.97,0.33,0.57,57.59,59.044,60.022,9203.17,11927.04,14325.11,2.55
2017-08-16,57.89,59.8,59.51,57.61,14538.75,1.62,2.8,57.732,58.804,59.938,10413.4,10638.26,14229.48,5.38
2017-08-17,59.0,59.2,58.68,58.47,10667.47,-0.83,-1.4,58.056,58.563,59.848,9767.98,10401.55,13896.13,3.95
2017-08-18,58.44,59.17,58.86,58.2,7628.85,0.18,0.31,58.5,58.456,59.857,9280.89,10067.91,13334.91,2.83
2017-08-21,58.83,59.4,59.26,58.0,10973.51,0.4,0.68,58.84,58.334,59.779,10138.71,10525.26,12861.87,4.06
2017-08-22,59.18,61.28,60.6,58.9,23422.34,1.34,2.26,59.382,58.486,59.739,13446.18,11324.68,12997.72,8.67
2017-08-23,60.34,60.4,59.5,59.1,13663.4,-1.1,-1.81,59.38,58.556,59.624,13271.11,11842.26,12920.66,5.06
2017-08-24,59.5,61.17,59.9,59.36,15917.55,0.4,0.67,59.624,58.84,59.467,14321.13,12044.56,12685.26,5.9
2017-08-25,59.88,61.57,61.39,59.62,18442.36,1.49,2.49,60.13,59.315,59.474,16483.83,12882.36,12826.6,6.83
2017-08-28,61.6,63.99,63.45,61.6,30408.54,2.06,3.36,60.968,59.904,59.614,20370.84,15254.77,13772.3,11.26
2017-08-29,62.98,65.18,63.7,62.03,34816.12,0.25,0.39,61.588,60.485,59.765,22649.59,18047.89,14987.46,12.89
2017-08-30,63.12,64.58,62.77,62.75,20458.43,-0.93,-1.46,62.242,60.811,59.808,24008.6,18639.86,14639.06,7.58
2017-08-31,62.9,65.18,64.75,61.98,33114.64,1.98,3.15,63.212,61.418,59.991,27448.02,20884.57,15643.06,12.26
2017-09-01,64.56,64.96,64.17,63.18,22193.17,-0.58,-0.9,63.768,61.949,60.203,28198.18,22341.01,16204.46,8.22
2017-09-04,64.17,64.77,63.4,63.05,18156.24,-0.77,-1.2,63.758,62.363,60.348,25747.72,23059.28,16792.27,6.72
2017-09-05,63.4,64.58,64.32,63.2,8856.4,0.92,1.45,63.882,62.735,60.61,20555.78,21602.69,16463.68,3.28
2017-11-06,66.0,70.58,68.02,66.0,54707.07,3.7,5.75,64.932,63.587,61.072,27405.5,25707.05,18774.65,20.26
2017-11-07,66.96,70.28,68.99,66.36,44088.82,0.97,1.43,65.78,64.496,61.668,29600.34,28524.18,20284.37,16.33
2017-11-08,69.3,70.7,68.1,68.03,30178.56,-0.89,-1.29,66.566,65.167,62.241,31197.42,29697.8,21290.08,11.18
2017-11-09,67.9,69.5,68.54,67.7,18547.25,0.44,0.65,67.594,65.676,62.79,31275.62,28511.67,21883.22,6.87
2017-11-10,68.0,68.64,67.81,67.78,16715.02,-0.73,-1.06,68.292,66.087,63.286,32847.34,26701.56,22374.72,6.19
2017-11-13,68.1,71.05,70.47,67.86,28493.64,2.66,3.92,68.782,66.857,63.834,27604.66,27505.08,23072.47,10.55
2017-11-14,70.52,71.98,69.54,69.28,24631.62,-0.93,-1.32,68.892,67.336,64.377,23713.22,26656.78,23770.68,9.12
2017-11-15,69.71,70.5,67.87,67.4,20107.07,-1.67,-2.4,68.846,67.706,64.828,21698.92,26448.17,24394.59,7.45
2017-11-16,67.93,68.2,65.78,65.78,15851.4,-2.09,-3.08,68.294,67.944,65.154,21159.75,26217.69,24638.48,5.87
2017-11-17,65.5,66.18,60.11,59.95,29682.89,-5.67,-8.62,66.754,67.523,65.129,23753.32,28300.33,24951.51,10.99
2017-11-20,60.04,61.58,61.45,58.32,17875.41,1.34,2.23,64.95,66.866,65.227,21629.68,24617.17,25162.11,6.62
2017-11-21,61.04,62.43,60.24,59.01,15489.05,-1.21,-1.97,63.09,65.991,65.244,19801.16,21757.19,25140.69,5.74
2017-11-22,60.35,61.1,60.66,59.58,10735.82,0.42,0.7,61.648,65.247,65.207,17926.91,19812.92,24755.36,3.98
2017-11-23,60.16,60.5,58.8,58.7,10227.29,-1.86,-3.07,60.252,64.273,64.975,16802.09,18980.92,23746.3,3.79
2017-11-24,58.5,59.44,58.5,58.31,8019.43,-0.3,-0.51,59.93,63.342,64.715,12469.4,18111.36,22406.46,2.97
2017-11-27,58.28,58.46,56.63,56.5,9855.55,-1.87,-3.2,58.966,61.958,64.408,10865.43,16247.55,21876.32,3.65
