date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-31,11.28,11.28,11.28,11.28,127.92,3.45,44.06,11.28,11.28,11.28,127.92,127.92,127.92,0.03
2017-11-01,12.41,12.41,12.41,12.41,41.0,1.13,10.02,11.845,11.845,11.845,84.46,84.46,84.46,0.01
2017-11-02,13.65,13.65,13.65,13.65,121.0,1.24,9.99,12.447,12.447,12.447,96.64,96.64,96.64,0.02
2017-11-03,15.02,15.02,15.02,15.02,126.97,1.37,10.04,13.09,13.09,13.09,104.22,104.22,104.22,0.02
2017-11-06,16.52,16.52,16.52,16.52,272.2,1.5,9.99,13.776,13.776,13.776,137.82,137.82,137.82,0.05
2017-11-07,18.17,18.17,18.17,18.17,651.14,1.65,9.99,15.154,14.508,14.508,242.46,223.37,223.37,0.13
2017-11-08,19.99,19.99,19.99,19.99,1136.59,1.82,10.02,16.67,15.291,15.291,461.58,353.83,353.83,0.22
2017-11-09,21.99,21.99,21.99,21.99,1792.18,2.0,10.01,18.338,16.129,16.129,795.82,533.63,533.63,0.35
2017-11-10,24.19,24.19,24.19,24.19,5182.67,2.2,10.01,20.172,17.024,17.024,1806.96,1050.19,1050.19,1.02
2017-11-13,26.61,26.61,26.61,26.61,5030.91,2.42,10.0,22.19,17.983,17.983,2758.7,1448.26,1448.26,0.99
2017-11-14,29.0,29.0,28.31,27.52,341122.12,1.7,6.39,24.218,19.686,18.922,70852.89,35547.68,32327.7,66.89
2017-11-15,26.24,28.05,26.7,25.49,250626.06,-1.62,-5.72,25.56,21.115,19.57,120750.79,60606.18,50519.23,49.14
2017-11-16,25.5,26.4,24.07,24.07,181687.06,-2.67,-9.98,25.976,22.157,19.916,156729.76,78762.79,60609.06,35.62
2017-11-17,23.49,23.88,21.67,21.67,144184.8,-2.41,-10.01,25.472,22.822,20.041,184530.19,93168.57,66578.76,28.27
2017-11-20,21.02,21.45,21.1,20.46,90509.94,-0.57,-2.63,24.37,23.28,20.112,201626.0,102192.35,68174.17,17.75
2017-11-21,21.01,22.16,21.66,19.62,145116.62,0.57,2.7,23.04,23.629,20.209,162424.9,116638.89,72983.07,28.45
2017-11-22,21.0,21.42,20.67,20.4,88838.85,-0.96,-4.44,21.834,23.697,20.236,130067.45,125409.12,73915.77,17.42
2017-11-23,20.1,21.48,20.31,19.9,100816.53,-0.36,-1.74,21.082,23.529,20.24,113893.35,135311.56,75410.25,19.77
2017-11-24,20.0,21.3,20.41,20.0,82069.99,0.03,0.15,20.83,23.151,20.249,101470.39,143000.29,75760.77,16.09
2017-11-27,20.32,20.5,19.13,19.05,76930.14,-1.16,-5.72,20.436,22.403,20.193,98754.43,150190.21,75819.23,15.08
2017-11-28,19.21,19.9,19.38,19.16,59042.05,0.24,1.25,19.98,21.51,20.598,81539.51,121982.2,78764.94,11.58
2017-11-29,19.36,20.16,20.0,18.2,121838.18,0.64,3.31,19.846,20.84,20.978,88139.38,109103.42,84854.8,23.89
2017-11-30,20.0,21.97,21.33,19.8,195421.73,1.36,6.81,20.05,20.566,21.362,107060.42,110476.88,94619.84,38.32
2017-12-01,20.45,21.0,20.4,20.17,133785.12,-0.94,-4.41,20.048,20.439,21.631,117403.44,109436.92,101302.74,26.23
2017-12-04,19.82,19.88,18.34,18.34,107061.54,-2.04,-10.01,19.89,20.163,21.722,123429.72,111092.08,106642.21,20.99
2017-12-05,18.04,18.39,17.36,17.07,65916.57,-0.98,-5.34,19.486,19.733,21.681,124804.63,103172.07,109905.48,12.92
2017-12-06,17.4,17.96,17.87,17.18,52298.76,0.55,3.18,19.06,19.453,21.575,110896.74,99518.06,112463.59,10.25
2017-12-07,17.65,17.93,17.48,17.45,42513.63,-0.43,-2.4,18.29,19.17,21.35,80315.12,93687.77,114499.66,8.34
2017-12-08,17.6,18.37,17.86,17.52,55624.91,0.34,1.94,17.782,18.915,21.033,64683.08,91043.26,117021.78,10.91
2017-12-11,17.62,18.0,17.86,17.62,37657.12,0.03,0.17,17.686,18.788,20.596,50802.2,87115.96,118653.09,7.38
2017-12-12,17.8,17.8,16.78,16.74,52258.62,-1.07,-5.99,17.57,18.528,20.019,48070.61,86437.62,104209.91,10.25
2017-12-13,16.75,17.07,16.88,16.65,31579.17,0.12,0.72,17.372,18.216,19.528,43926.69,77411.72,93257.57,6.19
2017-12-14,16.81,17.3,17.15,16.66,42992.17,0.27,1.6,17.306,17.798,19.182,44022.4,62168.76,86322.82,8.43
2017-12-15,16.97,17.45,16.99,16.83,41654.33,-0.13,-0.76,17.132,17.457,18.948,41228.28,52955.68,81196.3,8.17
2017-12-18,17.0,17.47,17.28,16.38,55338.45,0.3,1.77,17.016,17.351,18.757,44764.55,47783.37,79437.72,10.85
2017-12-19,17.02,17.78,17.49,17.02,53024.58,0.21,1.22,17.158,17.364,18.549,44917.74,46494.17,74833.12,10.4
2017-12-20,17.36,18.18,17.55,17.16,72619.68,0.06,0.34,17.292,17.332,18.393,53125.84,48526.27,74022.16,14.24
2017-12-21,17.4,17.83,17.5,16.8,69898.54,-0.05,-0.28,17.362,17.334,18.252,58507.12,51264.76,72476.26,13.71
2017-12-22,17.27,17.94,17.79,17.23,58688.66,0.35,2.01,17.522,17.327,18.121,61913.98,51571.13,71307.2,11.51
2017-12-25,17.58,18.85,18.52,17.09,104189.01,0.75,4.22,17.77,17.393,18.091,71684.09,58224.32,72670.14,20.43
2017-12-26,18.43,19.85,19.36,18.15,139628.33,0.85,4.59,18.144,17.651,18.09,89004.84,66961.29,76699.45,27.38
2017-12-27,19.26,19.53,18.89,18.83,103604.1,-0.47,-2.43,18.412,17.852,18.034,95201.73,74163.78,75787.75,20.31
2017-12-28,18.61,19.55,19.19,18.61,89550.65,0.32,1.7,18.75,18.056,17.927,99132.15,78819.63,70494.2,17.56
2017-12-29,19.4,20.65,19.02,19.02,97209.36,-0.17,-0.89,18.996,18.259,17.858,106836.29,84375.14,68665.41,19.06
2018-01-02,19.37,19.8,19.73,18.6,91478.15,0.68,3.57,19.238,18.504,17.928,104294.12,87989.11,67886.24,17.94
2018-01-03,19.67,19.88,18.95,18.62,90474.92,-0.78,-3.95,19.156,18.65,18.007,94463.44,91734.14,69114.16,17.74
2018-01-04,18.71,19.08,18.29,18.22,72151.13,-0.68,-3.58,19.036,18.724,18.028,88172.84,91687.29,70106.78,14.15
2018-01-05,18.33,18.52,18.29,18.22,38565.59,0.01,0.06,18.856,18.803,18.069,77975.83,88553.99,69909.37,7.56
2018-01-08,18.17,18.67,18.64,18.12,46478.73,0.33,1.8,18.78,18.888,18.108,67829.7,87333.0,69452.06,9.11
2018-01-09,18.57,19.2,18.83,18.48,65506.02,0.2,1.07,18.6,18.919,18.156,62635.28,83464.7,70844.51,12.84
2018-01-10,18.6,18.7,17.8,17.72,62474.84,-1.03,-5.47,18.37,18.763,18.207,57035.26,75749.35,71355.32,12.25
2018-01-11,17.7,18.45,18.18,17.64,48799.54,0.37,2.08,18.348,18.692,18.272,52364.94,70268.89,72216.34,9.57
2018-01-12,18.16,18.99,18.62,17.91,82404.26,0.44,2.42,18.414,18.635,18.346,61132.68,69554.25,74186.94,16.16
2018-01-15,18.5,20.49,20.49,18.35,208364.2,1.86,9.98,18.784,18.782,18.521,93509.77,80669.74,82522.44,40.86
2018-01-16,20.3,21.97,21.32,20.15,254731.94,0.83,4.05,19.282,18.941,18.723,131354.96,96995.12,92492.11,49.95
