date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-03-21,15.32,18.39,18.39,15.32,43.0,5.62,44.01,18.39,18.39,18.39,43.0,43.0,43.0,0.01
2017-03-22,20.23,20.23,20.23,20.23,23.31,1.84,10.01,19.31,19.31,19.31,33.16,33.16,33.16,0.01
2017-03-23,22.25,22.25,22.25,22.25,26.31,2.02,9.98,20.29,20.29,20.29,30.87,30.87,30.87,0.01
2017-03-24,24.48,24.48,24.48,24.48,12.56,2.23,10.02,21.338,21.338,21.338,26.3,26.3,26.3,0.0
2017-03-27,26.93,26.93,26.93,26.93,14.0,2.45,10.01,22.456,22.456,22.456,23.84,23.84,23.84,0.0
2017-03-28,29.62,29.62,29.62,29.62,47.0,2.69,9.99,24.702,23.65,23.65,24.64,27.7,27.7,0.02
2017-03-29,32.58,32.58,32.58,32.58,49.31,2.96,9.99,27.172,24.926,24.926,29.84,30.78,30.78,0.02
2017-03-30,35.84,35.84,35.84,35.84,143.41,3.26,10.01,29.89,26.29,26.29,53.26,44.86,44.86,0.05
2017-03-31,39.42,39.42,39.42,39.42,215.7,3.58,9.99,32.878,27.749,27.749,93.88,63.84,63.84,0.07
2017-04-05,43.36,43.36,43.36,43.36,178.29,3.94,9.99,36.164,29.31,29.31,126.74,75.29,75.29,0.06
2017-04-06,47.7,47.7,47.7,47.7,198.31,4.34,10.01,39.78,32.241,30.982,157.0,90.82,86.47,0.07
2017-04-07,52.47,52.47,52.47,52.47,241.21,4.77,10.0,43.758,35.465,32.773,195.38,112.61,99.37,0.08
2017-04-10,57.72,57.72,57.72,57.72,948.95,5.25,10.01,48.134,39.012,34.692,356.49,204.87,164.72,0.32
2017-04-11,63.49,63.49,63.49,61.8,130252.41,5.77,10.0,52.948,42.913,36.749,26363.83,13228.86,9456.7,43.71
2017-04-12,64.22,68.0,61.0,60.62,149252.45,-2.49,-3.92,56.476,46.32,38.365,56178.67,28152.7,18776.41,50.08
2017-04-13,60.18,64.0,62.39,60.18,86222.64,1.39,2.28,59.414,49.597,39.867,73383.53,36770.27,22991.8,28.93
2017-04-14,61.12,67.89,64.36,59.8,107967.07,1.97,3.16,61.792,52.775,41.308,94928.7,47562.04,27990.35,36.23
2017-04-17,60.06,61.6,58.47,57.92,75812.3,-5.89,-9.15,61.942,55.038,42.261,109901.37,55128.93,30647.12,25.44
2017-04-18,58.69,60.88,59.8,58.58,46780.45,1.33,2.27,61.204,57.076,43.184,93206.98,59785.41,31496.25,15.7
2017-04-19,59.17,62.88,62.75,58.88,71399.39,2.95,4.93,61.554,59.015,44.163,77636.37,66907.52,33491.4,23.96
2017-04-20,62.1,62.5,58.66,57.5,70700.82,-4.09,-6.52,60.808,60.111,46.176,74532.01,73957.77,37024.29,23.73
2017-04-21,58.01,59.87,57.78,57.0,35400.11,-0.88,-1.5,59.492,60.642,48.054,60018.61,77473.66,38793.13,11.88
2017-04-24,56.5,58.99,58.1,55.88,34854.29,0.32,0.55,59.418,60.68,49.846,51827.01,80864.19,40534.53,11.7
2017-04-25,58.0,59.97,58.55,57.84,40448.6,0.45,0.78,59.168,60.186,51.55,50560.64,71883.81,42556.34,13.57
2017-04-26,57.66,59.46,58.51,56.76,40151.99,-0.04,-0.07,58.32,59.937,53.129,44311.16,60973.77,44563.24,13.47
2017-04-27,58.01,64.28,62.37,57.57,67213.96,3.86,6.6,59.062,59.935,54.766,43613.79,59072.9,47921.58,22.56
2017-04-28,61.6,62.6,61.96,60.89,41176.12,-0.41,-0.66,59.898,59.695,56.235,44768.99,52393.8,49977.92,13.82
2017-05-02,61.8,64.28,62.45,61.3,37734.42,0.49,0.79,60.768,60.093,57.566,45345.02,48586.02,51857.47,12.66
2017-05-03,62.0,63.68,61.01,58.99,58346.67,-1.44,-2.31,61.26,60.214,58.645,48924.63,49742.64,54764.02,19.58
2017-05-04,60.26,60.51,58.02,58.02,40294.26,-2.99,-4.9,61.162,59.741,59.378,48953.09,46632.12,56769.82,13.52
2017-05-05,57.6,58.73,56.22,56.12,29829.05,-1.8,-3.1,59.932,59.497,59.804,41476.1,42544.95,58251.36,10.01
2017-05-08,56.0,56.6,55.25,55.16,19420.69,-0.97,-1.73,58.59,59.244,59.943,37125.02,40947.0,59210.33,6.52
2017-05-09,55.03,56.78,56.7,54.8,18567.97,1.45,2.62,57.44,59.104,59.892,33291.73,39318.37,60091.28,6.23
2017-05-10,56.38,56.8,53.68,53.68,26822.55,-3.02,-5.33,55.974,58.617,59.402,26986.9,37955.77,54919.79,9.0
2017-05-11,53.32,54.09,54.02,52.0,29417.81,0.34,0.63,55.174,58.168,59.052,24811.61,36882.35,48928.06,9.87
2017-05-12,53.39,54.23,53.93,52.71,18394.75,-0.09,-0.17,54.716,57.324,58.629,22524.75,32000.43,45536.66,6.17
2017-05-15,53.9,55.56,55.1,53.9,22601.15,1.17,2.17,54.686,56.638,58.167,23160.85,30142.93,41268.37,7.58
2017-05-16,54.7,56.37,56.32,54.21,21084.94,1.22,2.21,54.61,56.025,58.059,23664.24,28477.98,38532.0,7.08
2017-05-17,56.1,57.32,55.59,55.56,20290.95,-0.73,-1.3,54.992,55.483,57.849,22357.92,24672.41,37207.52,6.81
2017-05-18,54.56,55.58,53.89,53.89,17094.65,-1.7,-3.06,54.966,55.07,57.406,19893.29,22352.45,34492.29,5.74
2017-05-19,53.75,54.28,52.41,52.33,12757.63,-1.48,-2.75,54.662,54.689,57.093,18765.86,20645.31,31595.13,4.28
2017-05-22,51.91,52.83,50.6,49.88,22435.13,-1.81,-3.45,53.762,54.224,56.734,18732.66,20946.75,30946.88,7.53
