date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-29,16.38,17.87,17.87,16.38,182.79,5.46,44.0,17.87,17.87,17.87,182.79,182.79,182.79,0.06
2018-01-02,19.66,19.66,19.66,19.66,37.0,1.79,10.02,18.765,18.765,18.765,109.9,109.9,109.9,0.01
2018-01-03,21.63,21.63,21.63,21.63,67.71,1.97,10.02,19.72,19.72,19.72,95.83,95.83,95.83,0.02
2018-01-04,23.79,23.79,23.79,23.79,182.08,2.16,9.99,20.738,20.738,20.738,117.4,117.4,117.4,0.06
2018-01-05,26.17,26.17,26.17,26.17,382.48,2.38,10.0,21.824,21.824,21.824,170.41,170.41,170.41,0.12
2018-01-08,28.79,28.79,28.79,28.79,542.0,2.62,10.01,24.008,22.985,22.985,242.25,232.34,232.34,0.16
2018-01-09,31.67,31.67,31.67,31.67,835.32,2.88,10.0,26.41,24.226,24.226,401.92,318.48,318.48,0.25
2018-01-10,34.46,34.84,34.84,33.0,205147.44,3.17,10.01,29.052,25.553,25.553,41417.86,25922.1,25922.1,62.17
2018-01-15,31.7,33.5,33.4,31.36,146210.19,-1.44,-4.13,30.974,26.424,26.424,70623.49,39287.45,39287.45,44.31
2018-01-16,32.47,35.6,33.23,31.87,151071.55,-0.17,-0.51,32.386,27.105,27.105,100761.3,50465.86,50465.86,45.78
