date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-02-13,19.39,23.27,23.27,19.39,46.1,7.11,44.0,23.27,23.27,23.27,46.1,46.1,46.1,0.03
2017-02-14,25.6,25.6,25.6,25.6,20.0,2.33,10.01,24.435,24.435,24.435,33.05,33.05,33.05,0.01
2017-02-15,28.16,28.16,28.16,28.16,13.79,2.56,10.0,25.677,25.677,25.677,26.63,26.63,26.63,0.01
2017-02-16,30.98,30.98,30.98,30.98,17.0,2.82,10.01,27.003,27.003,27.003,24.22,24.22,24.22,0.01
2017-02-17,34.08,34.08,34.08,34.08,32.0,3.1,10.01,28.418,28.418,28.418,25.78,25.78,25.78,0.02
2017-02-20,37.49,37.49,37.49,37.49,43.0,3.41,10.01,31.262,29.93,29.93,25.16,28.65,28.65,0.03
2017-02-21,41.24,41.24,41.24,41.24,200.0,3.75,10.0,34.39,31.546,31.546,61.16,53.13,53.13,0.12
2017-02-22,45.36,45.36,45.36,45.36,268.0,4.12,9.99,37.83,33.273,33.273,112.0,79.99,79.99,0.16
2017-02-23,49.9,49.9,49.9,49.9,158.0,4.54,10.01,41.614,35.12,35.12,140.2,88.65,88.65,0.09
2017-02-24,54.89,54.89,54.89,54.89,405.0,4.99,10.0,45.776,37.097,37.097,214.8,120.29,120.29,0.24
2017-02-27,60.38,60.38,60.38,60.38,735.0,5.49,10.0,50.354,40.808,39.214,353.2,189.18,176.17,0.44
2017-02-28,66.42,66.42,66.42,66.42,687.0,6.04,10.0,55.39,44.89,41.481,450.6,255.88,218.74,0.41
2017-03-01,73.06,73.06,73.06,73.06,724.0,6.64,10.0,60.93,49.38,43.91,541.8,326.9,257.61,0.43
2017-03-02,75.0,75.0,71.6,69.19,91806.48,-1.46,-2.0,65.27,53.442,45.888,18871.5,9505.85,6796.81,54.47
2017-03-03,70.99,71.5,69.27,69.01,47661.7,-2.33,-3.25,68.146,56.961,47.447,28322.84,14268.82,9521.14,28.28
2017-03-06,69.28,71.5,70.99,69.01,41332.94,1.72,2.48,70.268,60.311,48.918,36442.42,18397.81,11509.38,24.52
2017-03-07,70.36,72.26,72.0,70.08,40546.97,1.01,1.42,71.384,63.387,50.276,44414.42,22432.51,13217.47,24.06
2017-03-08,72.1,72.57,71.06,70.79,32573.66,-0.94,-1.31,70.984,65.957,51.431,50784.35,25663.08,14292.81,19.33
2017-03-09,70.53,71.77,70.11,69.6,25323.86,-0.95,-1.34,70.686,67.978,52.414,37487.83,28179.66,14873.39,15.02
2017-03-10,70.2,70.69,69.45,69.2,21497.03,-0.66,-0.94,70.722,69.434,53.266,32254.89,30288.86,15204.58,12.75
2017-03-13,69.6,70.2,70.05,67.11,25060.83,0.6,0.86,70.534,70.401,55.605,29000.47,32721.45,16455.31,14.87
2017-03-14,69.7,72.05,70.68,69.35,32196.47,0.63,0.9,70.27,70.827,57.859,27330.37,35872.39,18064.14,19.1
2017-03-15,70.37,71.89,70.72,68.8,24213.83,0.04,0.06,70.202,70.593,59.987,25658.4,38221.38,19274.14,14.37
2017-03-16,70.74,76.38,74.19,70.74,47622.35,3.47,4.91,71.018,70.852,62.147,30118.1,33802.96,21654.41,28.25
2017-03-17,74.06,76.37,71.9,71.68,41214.76,-2.29,-3.09,71.508,71.115,64.038,34061.65,33158.27,23713.54,24.45
2017-03-20,71.41,73.25,73.08,70.8,22870.32,1.18,1.64,72.114,71.324,65.818,33623.55,31312.01,24854.91,13.57
2017-03-21,72.96,75.0,74.55,72.83,27915.53,1.47,2.01,72.888,71.579,67.483,32767.36,30048.86,26240.69,16.56
2017-03-22,73.9,76.68,75.88,73.42,32525.77,1.33,1.78,73.92,72.061,69.009,34429.75,30044.08,27853.58,19.3
2017-03-23,76.36,76.39,73.0,70.68,35219.48,-2.88,-3.79,73.682,72.35,70.164,31949.17,31033.64,29606.65,20.9
2017-03-24,72.6,77.65,77.51,72.59,40877.99,4.51,6.18,74.804,73.156,71.295,31881.82,32971.73,31630.3,24.25
2017-03-27,77.0,78.9,77.7,75.68,37968.81,0.19,0.24,75.728,73.921,72.161,34901.52,34262.53,33491.99,22.53
2017-03-28,76.92,78.88,75.03,74.5,29987.15,-2.67,-3.44,75.824,74.356,72.592,35315.84,34041.6,34957.0,17.79
2017-03-29,74.28,74.66,69.66,69.58,32738.56,-5.37,-7.16,74.58,74.25,72.422,35358.4,34894.07,36557.72,19.42
2017-03-30,68.15,68.7,65.82,65.56,24524.29,-3.84,-5.51,73.144,73.413,72.133,33219.36,32584.27,33193.61,14.55
2017-03-31,66.0,66.97,63.27,62.2,22795.74,-2.55,-3.87,70.296,72.55,71.833,29602.91,30742.36,31950.32,13.52
2017-04-05,63.86,65.27,65.11,62.52,14083.88,1.84,2.91,67.778,71.753,71.538,24825.92,29863.72,30587.86,8.36
2017-04-06,64.93,67.23,66.01,64.65,15503.95,0.9,1.38,65.974,70.899,71.239,21929.28,28622.56,29335.71,9.2
2017-04-07,65.7,67.26,64.37,64.06,16058.11,-1.64,-2.48,64.916,69.748,70.905,18593.19,26975.8,28509.94,9.53
2017-04-10,62.75,62.75,57.93,57.93,25460.13,-6.44,-10.01,63.338,68.241,70.296,18780.36,25999.86,28516.75,15.11
2017-04-11,57.99,59.87,59.68,57.08,16070.58,1.75,3.02,62.62,66.458,69.807,17435.33,23519.12,28245.43,9.53
2017-04-12,59.03,59.35,57.0,56.83,13037.95,-2.68,-4.49,60.998,64.388,69.155,17226.14,21026.03,27644.28,7.74
2017-04-13,56.5,58.6,57.3,56.22,9497.98,0.3,0.53,59.256,62.615,68.486,16024.95,18977.12,26509.36,5.64
2017-04-14,57.25,57.26,55.88,55.28,9641.0,-1.42,-2.48,57.558,61.237,67.744,14741.53,16667.36,25780.72,5.72
2017-04-17,53.5,53.6,51.5,50.8,14419.56,-4.38,-7.84,56.272,59.805,66.609,12533.41,15656.89,24120.58,8.56
2017-04-18,51.69,52.38,50.2,50.0,6977.94,-1.3,-2.52,54.376,58.498,65.524,10714.89,14075.11,22408.74,4.14
2017-04-19,50.1,52.25,52.05,49.76,9727.94,1.85,3.69,53.386,57.192,64.473,10052.88,13639.51,21751.62,5.77
2017-04-20,51.81,52.36,50.8,49.9,8133.23,-1.25,-2.4,52.086,55.671,63.285,9779.93,12902.44,20762.5,4.83
2017-04-21,50.8,51.37,50.82,50.56,5186.55,0.02,0.04,51.074,54.316,62.032,8889.04,11815.29,19395.54,3.08
2017-04-24,50.2,50.58,50.22,49.12,5925.97,-0.6,-1.18,50.818,53.545,60.893,7190.33,9861.87,17930.87,3.52
2017-04-25,50.47,52.0,50.8,50.4,7213.0,0.58,1.16,50.938,52.657,59.558,7237.34,8976.11,16247.62,4.28
2017-04-26,50.05,51.5,50.99,50.02,8002.68,0.19,0.37,50.726,52.056,58.222,6892.29,8472.59,14749.31,4.75
2017-04-27,50.35,52.78,52.69,49.3,12367.41,1.7,3.33,51.104,51.595,57.105,7739.12,8759.53,13868.32,7.34
2017-04-28,52.58,53.17,52.83,52.07,7883.23,0.14,0.27,51.506,51.29,56.263,8278.46,8583.75,12625.56,4.68
2017-05-02,52.84,53.44,51.78,51.66,6387.6,-1.05,-1.99,51.818,51.318,55.561,8370.78,7780.56,11718.72,3.79
2017-05-03,51.4,52.29,52.0,51.13,5302.6,0.22,0.42,52.058,51.498,54.998,7988.7,7613.02,10844.06,3.15
2017-05-04,51.8,51.8,50.89,50.12,5235.58,-1.11,-2.13,52.038,51.382,54.287,7435.28,7163.79,10401.65,3.11
2017-05-05,50.5,51.15,49.31,49.31,7519.5,-1.58,-3.1,51.362,51.233,53.452,6465.7,7102.41,10002.43,4.46
2017-05-08,48.88,49.3,45.8,45.7,9119.0,-3.51,-7.12,49.956,50.731,52.524,6712.86,7495.66,9655.47,5.41
2017-05-09,45.55,46.8,46.7,45.55,6200.88,0.9,1.97,48.94,50.379,51.962,6675.51,7523.15,8692.51,3.68
2017-05-10,46.45,47.19,45.03,43.6,6713.5,-1.67,-3.58,47.546,49.802,51.23,6957.69,7473.2,8224.66,3.98
2017-05-11,45.0,45.58,45.49,42.85,7701.0,0.46,1.02,46.466,49.252,50.654,7450.78,7443.03,7957.81,4.57
2017-05-12,45.2,45.9,45.59,44.68,6032.41,0.1,0.22,45.722,48.542,50.069,7153.36,6809.53,7784.53,3.58
2017-05-15,46.11,46.6,45.92,45.91,6023.0,0.33,0.72,45.746,47.851,49.571,6534.16,6623.51,7603.63,3.57
2017-05-16,45.79,47.39,47.36,45.02,7353.98,1.44,3.14,45.878,47.409,49.364,6764.78,6720.15,7250.35,4.36
2017-05-17,47.36,48.88,47.67,47.04,7359.33,0.31,0.66,46.406,46.976,49.237,6893.94,6925.82,7269.42,4.37
2017-05-18,47.08,47.98,47.22,47.04,4930.41,-0.45,-0.94,46.752,46.609,48.996,6339.83,6895.3,7029.54,2.93
2017-05-19,47.27,47.84,46.63,46.49,4643.41,-0.59,-1.25,46.96,46.341,48.787,6062.03,6607.69,6855.05,2.75
2017-05-22,47.0,47.17,43.4,43.21,7368.0,-3.23,-6.93,46.456,46.101,48.416,6331.03,6432.59,6964.12,4.37
