date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-09-26,11.96,14.36,14.36,11.96,57.0,4.39,44.03,14.36,14.36,14.36,57.0,57.0,57.0,0.03
2017-09-27,15.8,15.8,15.8,15.8,20.0,1.44,10.03,15.08,15.08,15.08,38.5,38.5,38.5,0.01
2017-09-28,17.38,17.38,17.38,17.38,20.0,1.58,10.0,15.847,15.847,15.847,32.33,32.33,32.33,0.01
2017-09-29,19.12,19.12,19.12,19.12,45.0,1.74,10.01,16.665,16.665,16.665,35.5,35.5,35.5,0.02
2017-10-09,21.03,21.03,21.03,21.03,52.0,1.91,9.99,17.538,17.538,17.538,38.8,38.8,38.8,0.03
2017-10-10,23.13,23.13,23.13,23.13,66.0,2.1,9.99,19.292,18.47,18.47,40.6,43.33,43.33,0.03
2017-10-11,25.44,25.44,25.44,25.44,107.0,2.31,9.99,21.22,19.466,19.466,58.0,52.43,52.43,0.05
2017-10-12,27.98,27.98,27.98,27.98,123.0,2.54,9.98,23.34,20.53,20.53,78.6,61.25,61.25,0.06
2017-10-13,30.78,30.78,30.78,30.78,388.33,2.8,10.01,25.672,21.669,21.669,147.27,97.59,97.59,0.2
2017-10-16,33.86,33.86,33.86,33.86,464.65,3.08,10.01,28.238,22.888,22.888,229.8,134.3,134.3,0.24
2017-10-17,37.25,37.25,37.25,37.25,756.0,3.39,10.01,31.062,25.177,24.194,367.8,204.2,190.82,0.39
2017-10-18,40.98,40.98,40.98,40.98,650.42,3.73,10.01,34.17,27.695,25.593,476.48,267.24,229.12,0.33
2017-10-19,45.08,45.08,45.08,45.08,727.0,4.1,10.01,37.59,30.465,27.092,597.28,337.94,267.42,0.37
2017-10-20,49.59,49.59,49.59,49.59,3264.99,4.51,10.0,41.352,33.512,28.699,1172.61,659.94,481.53,1.67
2017-10-23,54.55,54.55,54.55,54.55,3373.69,4.96,10.0,45.49,36.864,30.422,1754.42,992.11,674.34,1.72
2017-10-24,60.01,60.01,60.01,60.01,3130.69,5.46,10.01,50.042,40.552,32.271,2229.36,1298.58,827.86,1.6
2017-10-25,66.01,66.01,66.01,66.01,1912.24,6.0,10.0,55.048,44.609,34.256,2481.72,1479.1,891.65,0.98
2017-10-26,72.61,72.61,72.61,72.61,2183.0,6.6,10.0,60.554,49.072,36.387,2772.92,1685.1,963.39,1.11
2017-10-27,79.87,79.87,79.87,79.87,8774.27,7.26,10.0,66.61,53.981,38.675,3874.78,2523.69,1374.49,4.48
2017-10-30,78.97,80.1,74.5,72.88,135938.84,-5.37,-6.72,70.6,58.045,40.467,30387.81,16071.11,8102.71,69.36
2017-10-31,77.0,80.0,78.8,74.0,106592.15,4.3,5.77,74.358,62.2,43.689,51080.1,26654.73,13429.46,54.38
2017-11-01,77.2,86.6,82.3,77.2,100070.83,3.5,4.44,77.616,66.332,47.014,70711.82,36596.77,18432.0,51.06
2017-11-02,80.0,85.85,78.88,78.88,87591.38,-3.42,-4.16,78.87,69.712,50.089,87793.49,45283.21,22810.57,44.69
2017-11-03,78.5,86.77,86.77,78.5,90198.34,7.89,10.0,80.25,73.43,53.471,104078.31,53976.54,27318.24,46.02
2017-11-06,91.28,95.45,95.45,91.11,41037.62,8.68,10.0,84.44,77.52,57.192,85098.06,57742.94,29367.52,20.94
2017-11-07,100.3,105.0,105.0,98.7,99954.16,9.55,10.01,89.68,82.019,61.286,83770.47,67425.28,34361.93,51.0
2017-11-08,108.99,115.5,113.04,108.15,94698.03,8.04,7.66,95.828,86.722,65.665,82695.91,76703.86,39091.48,48.32
2017-11-09,113.33,116.93,116.7,110.12,85077.51,3.66,3.24,103.392,91.131,70.101,82193.13,84993.31,43339.21,43.41
2017-11-10,115.0,119.18,113.5,110.8,73906.06,-3.2,-2.74,108.738,94.494,74.237,78934.68,91506.49,47015.09,37.71
2017-11-13,115.28,123.55,119.87,110.0,80358.54,6.37,5.61,113.622,99.031,78.538,86798.86,85948.46,51009.79,41.0
2017-11-14,116.0,119.77,109.88,108.2,83908.87,-9.99,-8.33,114.598,102.139,82.169,83589.8,83680.13,55167.43,42.81
2017-11-15,107.5,112.4,111.0,105.0,68807.75,1.12,1.02,114.19,105.009,85.67,78411.75,80553.83,58575.3,35.11
2017-11-16,105.0,107.16,99.9,99.9,64141.4,-11.1,-10.0,110.83,107.111,88.411,74224.52,78208.83,61746.02,32.73
2017-11-17,100.86,104.29,96.85,95.18,59881.4,-3.05,-3.05,107.5,108.119,90.774,71419.59,75177.13,64576.84,30.55
2017-11-20,97.66,102.49,102.0,97.55,58161.37,5.15,5.32,103.926,108.774,93.147,66980.16,76889.51,67316.22,29.67
2017-11-21,99.93,99.94,95.91,91.8,77020.21,-6.09,-5.97,101.132,107.865,94.942,65602.43,74596.11,71010.7,39.3
2017-11-22,94.0,105.5,103.38,92.55,92700.38,7.47,7.79,99.608,106.899,96.81,70380.95,74396.35,75550.11,47.3
2017-11-23,99.95,101.0,96.2,95.0,61195.27,-7.18,-6.95,98.868,104.849,97.99,69791.73,72008.13,78500.72,31.22
2017-11-24,97.1,102.2,92.5,92.0,60312.56,-3.7,-3.85,97.998,102.749,98.622,69877.96,70648.78,81077.63,30.77
2017-11-27,89.51,93.44,85.31,84.01,55487.02,-7.19,-7.77,94.66,99.293,99.162,69343.09,68161.62,77055.04,28.31
2017-11-28,85.4,88.38,87.85,85.3,40795.7,2.54,2.98,93.048,97.09,99.615,62098.19,63850.31,73765.22,20.81
2017-11-29,86.5,86.97,80.35,79.07,65045.97,-7.5,-8.54,88.442,94.025,99.517,56567.3,63474.13,72013.98,33.19
2017-11-30,80.34,83.34,81.41,78.25,52429.7,1.06,1.32,85.484,92.176,99.643,54814.19,62302.96,70255.89,26.75
2017-12-01,80.71,83.33,81.3,80.01,42577.63,-0.11,-0.14,83.244,90.621,99.37,51267.2,60572.58,67874.86,21.72
2017-12-04,81.88,81.88,73.17,73.17,39547.57,-8.13,-10.0,80.816,87.738,98.256,48079.31,58711.2,67800.36,20.18
2017-12-05,70.14,71.42,68.15,66.06,38130.1,-5.02,-6.86,76.876,84.962,96.413,47546.19,54822.19,64709.15,19.45
2017-12-06,69.08,72.6,72.08,68.58,45769.98,3.93,5.77,75.222,81.832,94.366,43691.0,50129.15,62262.75,23.35
2017-12-07,70.8,72.17,69.99,69.51,35567.31,-2.09,-2.9,72.938,79.211,92.03,40318.52,47566.35,59787.24,18.15
2017-12-08,69.0,76.99,76.99,68.8,29273.96,7.0,10.0,72.076,77.66,90.205,37657.78,44462.49,57555.63,14.94
2017-12-11,79.0,79.98,79.32,76.9,57189.46,2.33,3.03,73.306,77.061,88.177,41186.16,44632.74,56397.18,29.18
2017-12-12,78.02,80.43,79.0,76.41,41246.06,-0.32,-0.4,75.476,76.176,86.633,41809.35,44677.77,54264.04,21.04
2017-12-13,77.23,82.0,80.9,77.23,43734.85,1.9,2.4,77.24,76.231,85.128,41402.33,42546.66,53010.4,22.31
2017-12-14,80.2,87.66,85.5,80.11,60257.01,4.6,5.69,80.342,76.64,84.408,46340.27,43329.39,52816.18,30.74
2017-12-15,84.77,85.2,80.0,78.88,47394.74,-5.5,-6.43,80.944,76.51,83.565,49964.42,43811.1,52191.84,24.18
2017-12-18,78.57,79.4,73.5,72.8,38526.55,-6.5,-8.12,79.78,76.543,82.14,46231.84,43709.0,51210.1,19.66
2017-12-19,73.8,77.58,75.14,73.8,31106.63,1.64,2.23,79.008,77.242,81.102,44203.96,43006.66,48914.42,15.87
2017-12-20,74.06,77.4,74.71,69.85,32121.46,-0.43,-0.57,77.77,77.505,79.669,41881.28,41641.8,45885.48,16.39
2017-12-21,74.88,82.18,82.18,72.88,31372.71,7.47,10.0,77.106,78.724,78.968,36104.42,41222.34,44394.35,16.01
2017-12-22,85.0,88.59,86.3,83.88,71821.07,4.12,5.01,78.366,79.655,78.658,40989.68,45477.05,44969.77,36.64
2017-12-25,84.03,92.88,89.0,84.03,65867.43,2.7,3.13,81.466,80.623,78.842,46457.86,46344.85,45488.79,33.61
2017-12-26,89.3,93.99,92.75,87.46,66045.86,3.75,4.21,84.988,81.998,79.087,53445.71,48824.83,46751.3,33.7
2017-12-27,90.01,91.99,87.45,85.95,58179.65,-5.3,-5.71,87.536,82.653,79.442,58657.34,50269.31,46407.99,29.68
2017-12-28,85.89,93.76,88.93,85.63,61159.57,1.48,1.69,88.886,82.996,79.818,64614.72,50359.57,46844.48,31.2
2017-12-29,86.4,90.85,87.42,84.49,45186.81,-1.51,-1.7,89.11,83.738,80.124,59287.86,50138.77,46974.94,23.05
2018-01-02,87.42,92.0,90.97,85.71,43579.47,3.55,4.06,89.504,85.485,81.014,54830.27,50644.07,47176.53,22.23
2018-01-03,90.29,90.98,88.52,87.01,36545.8,-2.45,-2.69,88.658,86.823,82.033,48930.26,51187.98,47097.32,18.65
2018-01-04,87.01,91.49,88.88,87.01,41988.89,0.36,0.41,88.944,88.24,82.873,45692.11,52174.73,46908.26,21.42
2018-01-05,87.41,90.83,85.3,85.3,42053.09,-3.58,-4.03,88.218,88.552,83.638,41870.81,53242.76,47232.55,21.46
2018-01-08,85.08,86.77,86.65,83.31,33255.3,1.35,1.58,88.064,88.587,84.121,39484.51,49386.19,47431.62,16.97
2018-01-09,86.8,87.6,86.3,84.5,25684.8,-0.35,-0.4,87.13,88.317,84.47,35905.58,45367.92,45856.39,13.1
2018-01-10,86.23,87.8,85.7,83.58,29093.35,-0.6,-0.69,86.566,87.612,84.805,34415.09,41672.67,45248.75,14.84
2018-01-11,84.0,88.8,86.28,82.17,41642.65,0.58,0.68,86.046,87.495,85.074,34345.84,40018.97,45144.14,21.25
2018-01-12,84.6,87.0,80.4,80.02,36321.5,-5.88,-6.82,85.066,86.642,84.819,33199.52,37535.17,43947.37,18.53
2018-01-15,78.0,78.75,73.0,72.4,41828.54,-7.4,-9.2,82.336,85.2,84.469,34914.17,37199.34,43669.06,21.34
2018-01-16,73.0,75.3,73.71,72.55,24094.35,0.71,0.97,79.818,83.474,84.48,34596.08,35250.83,42947.45,12.29
