date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-12-29,12.65,15.18,15.18,12.65,116.69,4.64,44.02,15.18,15.18,15.18,116.69,116.69,116.69,0.04
2018-01-02,16.7,16.7,16.7,16.7,92.24,1.52,10.01,15.94,15.94,15.94,104.47,104.47,104.47,0.03
2018-01-03,18.37,18.37,18.37,18.37,163.87,1.67,10.0,16.75,16.75,16.75,124.27,124.27,124.27,0.05
2018-01-04,20.21,20.21,20.21,20.21,227.0,1.84,10.02,17.615,17.615,17.615,149.95,149.95,149.95,0.07
2018-01-05,22.23,22.23,22.23,22.23,801.0,2.02,9.99,18.538,18.538,18.538,280.16,280.16,280.16,0.24
2018-01-08,24.45,24.45,24.45,24.45,826.76,2.22,9.99,20.392,19.523,19.523,422.17,371.26,371.26,0.25
2018-01-09,26.9,26.9,26.9,26.9,960.79,2.45,10.02,22.432,20.577,20.577,595.88,455.48,455.48,0.29
2018-01-10,29.59,29.59,29.59,29.59,26585.43,2.69,10.0,24.676,21.704,21.704,5880.2,3721.72,3721.72,8.06
2018-01-11,32.02,32.55,32.55,32.02,70467.65,2.96,10.0,27.144,22.909,22.909,19928.33,11137.94,11137.94,21.35
2018-01-12,34.45,35.21,31.8,31.34,221325.84,-0.75,-2.3,29.058,23.798,23.798,64033.29,32156.73,32156.73,67.07
2018-01-15,28.99,30.0,28.65,28.64,154007.52,-3.17,-9.96,29.898,25.145,24.239,94669.45,47545.81,43234.07,46.67
2018-01-16,28.32,30.61,30.14,27.68,156382.64,1.46,5.09,30.546,26.489,24.731,125753.82,63174.85,52663.12,47.39
