date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-09,14.57,17.48,17.48,14.57,62.11,5.34,43.99,17.48,17.48,17.48,62.11,62.11,62.11,0.02
2017-11-10,19.23,19.23,19.23,19.23,19.22,1.75,10.01,18.355,18.355,18.355,40.67,40.67,40.67,0.01
2017-11-13,21.15,21.15,21.15,21.15,26.11,1.92,9.98,19.287,19.287,19.287,35.81,35.81,35.81,0.01
2017-11-14,23.27,23.27,23.27,23.27,20.11,2.12,10.02,20.283,20.283,20.283,31.89,31.89,31.89,0.01
2017-11-15,25.6,25.6,25.6,25.6,58.11,2.33,10.01,21.346,21.346,21.346,37.13,37.13,37.13,0.02
2017-11-16,28.16,28.16,28.16,28.16,107.07,2.56,10.0,23.482,22.482,22.482,46.12,48.79,48.79,0.04
2017-11-17,30.98,30.98,30.98,30.98,488.92,2.82,10.01,25.832,23.696,23.696,140.06,111.66,111.66,0.18
2017-11-20,34.08,34.08,34.08,34.08,1279.69,3.1,10.01,28.418,24.994,24.994,390.78,257.67,257.67,0.48
2017-11-21,36.0,36.1,31.02,30.82,133835.09,-3.06,-8.98,29.968,25.663,25.663,27153.78,15099.6,15099.6,50.16
2017-11-22,29.5,30.65,29.48,28.42,94988.37,-1.54,-4.96,30.744,26.045,26.045,46139.83,23088.48,23088.48,35.6
2017-11-23,29.6,31.76,29.93,28.62,94060.28,0.45,1.53,31.098,27.29,26.398,64930.47,32488.3,29540.46,35.25
2017-11-24,28.0,28.82,27.0,27.0,71773.61,-2.93,-9.79,30.302,28.067,26.448,79187.41,39663.74,33059.89,26.9
2017-11-27,26.58,26.93,25.16,25.12,52632.51,-1.84,-6.82,28.518,28.468,26.349,89457.97,44924.38,34565.48,19.73
2017-11-28,25.4,26.2,25.72,25.4,40993.92,0.56,2.23,27.458,28.713,26.304,70889.74,49021.76,35024.65,15.37
2017-11-29,25.53,25.85,25.42,24.67,45486.08,-0.3,-1.17,26.646,28.695,26.245,60989.28,53564.55,35722.08,17.05
2017-11-30,25.54,27.51,26.5,25.42,66584.99,1.08,4.25,25.96,28.529,26.261,55494.22,60212.35,37651.01,24.96
2017-12-01,25.8,27.4,26.85,25.8,54838.01,0.35,1.32,25.93,28.116,26.296,52107.1,65647.25,38662.01,20.55
2017-12-04,26.07,26.24,24.17,24.17,52351.04,-2.68,-9.98,25.732,27.125,26.178,52050.81,70754.39,39422.51,19.62
2017-12-05,24.01,24.45,23.08,22.73,38108.5,-1.09,-4.51,25.204,26.331,26.015,51473.72,61181.73,39353.35,14.28
2017-12-06,23.28,23.76,23.62,22.76,29587.57,0.54,2.34,24.844,25.745,25.895,48294.02,54641.65,38865.07,11.09
2017-12-07,23.56,23.93,23.52,23.12,27893.73,-0.1,-0.42,24.248,25.104,26.197,40555.77,48025.0,40256.65,10.45
2017-12-08,23.33,24.68,24.14,23.27,38302.42,0.62,2.64,23.706,24.818,26.443,37248.65,44677.88,42170.81,14.36
2017-12-11,23.94,24.39,24.18,23.94,24665.55,0.04,0.17,23.708,24.72,26.594,31711.55,41881.18,43402.78,9.24
2017-12-12,24.13,24.13,22.83,22.81,34771.1,-1.35,-5.58,23.658,24.431,26.572,31044.07,41258.9,45140.33,13.03
2017-12-13,22.74,23.25,23.18,22.6,18656.95,0.35,1.53,23.57,24.207,26.451,28857.95,38575.99,46070.27,6.99
2017-12-14,23.09,23.75,23.56,22.85,25539.69,0.38,1.64,23.578,23.913,26.221,28387.14,34471.46,47341.9,9.57
2017-12-15,23.35,23.49,23.07,22.9,21824.55,-0.49,-2.08,23.364,23.535,25.826,25091.57,31170.11,48408.68,8.18
2017-12-18,23.16,23.36,23.24,22.7,18534.36,0.17,0.74,23.176,23.442,25.284,23865.33,27788.44,49271.42,6.95
2017-12-19,23.15,23.47,23.36,23.12,20159.88,0.12,0.52,23.282,23.47,24.901,20943.09,25993.58,43587.66,7.56
